covered_entity_name,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information,javax.faces.component.UIPanel@48c348d2,web_description,ingestion_time,source_file_path
Gastroenterology Consultants of South Texas ,TX,Healthcare Provider,44579,2025-07-22,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Kettering Adventist Healthcare,OH,Healthcare Provider,1695382,2025-07-21,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
OrthoAtlanta LLC,GA,Business Associate,626,2025-07-21,Hacking/IT Incident,Email,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Infinite Services, Inc.",NY,Healthcare Provider,31742,2025-07-21,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Dr. Michael Bilikas and Associates d.b.a. 32 Pearls,WA,Healthcare Provider,23517,2025-07-21,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Equilibria Mental Health Services,PA,Healthcare Provider,3232,2025-07-20,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Keys Pathology Associates, PA",FL,Healthcare Provider,20000,2025-07-19,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
The Brien Center for Mental Health and Substance Abuse Services,MA,Healthcare Provider,5427,2025-07-18,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Human Development Services of Westchester,NY,Healthcare Provider,501,2025-07-18,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Self Regional Healthcare,SC,Healthcare Provider,26696,2025-07-17,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Clinica Family Health Services,CO,Healthcare Provider,47593,2025-07-14,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Williamsburg Area Medical Assistance Corporation d/b/a Olde Towne Medical and Dental Center (OTMDC),VA,Healthcare Provider,2567,2025-07-13,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Regency Oaks,FL,Healthcare Provider,2008,2025-07-11,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Freedom Plaza Senior Living,FL,Healthcare Provider,4847,2025-07-11,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Freedom Square of Seminole,FL,Healthcare Provider,3473,2025-07-11,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Picis Clinical Solutions, Inc. d/b/a Medstreaming",MA,Business Associate,8840,2025-07-11,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Covenant Health ,MA,Business Associate,7864,2025-07-11,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Anne Arundel Dermatology ,MD,Healthcare Provider,1905000,2025-07-11,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Mountain Laurel Dermatology,NC,Healthcare Provider,3324,2025-07-10,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Naper Grove Vision Care,IL,Healthcare Provider,501,2025-07-10,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Florida Lung, Asthma & Sleep Specialists (FLASS)",FL,Healthcare Provider,10000,2025-07-09,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Complete Care Rehab LLC,MI,Healthcare Provider,4764,2025-07-08,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
K&E Advanced Dentisrty,OH,Healthcare Provider,1700,2025-07-07,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
City of Franklin,WI,Healthcare Provider,3233,2025-07-03,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Zumpano Patricios, P.A.",FL,Business Associate,279275,2025-07-03,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Cierant Corporation ,CT,Business Associate,232506,2025-07-03,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Arbor Associates, Inc.",MI,Business Associate,17040,2025-07-03,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Urology Associates of Charleston,SC,Healthcare Provider,2060,2025-07-03,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Radiology Associates of Richmond, Inc.",VA,Healthcare Provider,1419091,2025-07-01,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Texas Center for Infectious Disease Associates,TX,Healthcare Provider,19481,2025-06-30,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Centers for Medicare & Medicaid Services,MD,Health Plan,107154,2025-06-30,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Clinical Practices of the University of Pennsylvania,PA,Healthcare Provider,1432,2025-06-30,Unauthorized Access/Disclosure,Paper/Films,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Southwest Urology,OH,Healthcare Provider,7214,2025-06-27,Hacking/IT Incident,Email,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Radiation Oncology Network of Southern California, LLC",CA,Healthcare Provider,12944,2025-06-27,Hacking/IT Incident,Email,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
PDCM Insurance,IA,Business Associate,501,2025-06-27,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
PET Imaging of Tulsa,OK,Healthcare Provider,3159,2025-06-27,Hacking/IT Incident,Email,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
PET Imaging of The Woodlands,TX,Healthcare Provider,2978,2025-06-27,Hacking/IT Incident,Email,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
PET Imaging of Northern Colorado,CO,Healthcare Provider,4824,2025-06-27,Hacking/IT Incident,Email,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
PET Imaging of Dallas Northeast,TX,Healthcare Provider,1935,2025-06-27,Hacking/IT Incident,Email,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Orange County Radiation Oncology Medical Group,CA,Healthcare Provider,1911,2025-06-27,Hacking/IT Incident,Email,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Lake City Cancer Care, LLC",FL,Healthcare Provider,15142,2025-06-27,Hacking/IT Incident,Email,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Integrated Oncology Network,TN,Business Associate,4174,2025-06-27,Hacking/IT Incident,Email,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Fairbanks Urology,AK,Healthcare Provider,4289,2025-06-27,Hacking/IT Incident,Email,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Denali Biomedical,AK,Healthcare Provider,2413,2025-06-27,Hacking/IT Incident,Email,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Horizon Healthcare RCM,IN,Healthcare Clearing House,210901,2025-06-27,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
California Cancer Associates for Research and Excellence – San Diego,CA,Healthcare Provider,638,2025-06-27,Hacking/IT Incident,Email,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
California Cancer Associates for Research and Excellence – High Desert,CA,Healthcare Provider,17250,2025-06-27,Hacking/IT Incident,Email,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Bardmoor Cancer Center,FL,Healthcare Provider,991,2025-06-27,Hacking/IT Incident,Email,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Amalgamated Meat Cutters and Retail Food Store Employees Union Local 342 Health Care Fund,NY,Health Plan,56615,2025-06-26,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Jordan Drug, Inc.",KY,Healthcare Provider,4947,2025-06-26,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Clement Manor,WI,Healthcare Provider,16046,2025-06-25,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
McLaren Health Care,MI,Healthcare Provider,743131,2025-06-24,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Minneapolis VA Medical Center,MN,Healthcare Provider,1099,2025-06-24,Unauthorized Access/Disclosure,Paper/Films,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Mainline Health Systems Inc,AR,Healthcare Provider,101104,2025-06-23,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Blue Shield of California,CA,Business Associate,673,2025-06-23,Unauthorized Access/Disclosure,Email,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Esse Health ,MO,Healthcare Provider,23671,2025-06-20,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Los Angeles County Developmental Services Fdn., Inc. dba Frank D. Lanterman Regional Ctr.",CA,Healthcare Provider,19000,2025-06-20,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Retina Associates of Cleveland, Inc.",OH,Healthcare Provider,3604,2025-06-20,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Harbor,OH,Healthcare Provider,2703,2025-06-20,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Skin Care Specialty Physicians,MD,Healthcare Provider,1038,2025-06-19,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Marquette County Medical Care Facility,OH,Healthcare Provider,1499,2025-06-18,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Winkler County Hospital District,TX,Healthcare Provider,637,2025-06-17,Unauthorized Access/Disclosure,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Broadwest Specialty Surgical Center,IN,Healthcare Provider,536,2025-06-17,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Decisely Insurance Services, LLC",GA,Business Associate,537603,2025-06-13,Hacking/IT Incident,"Network Server, Other",Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Central Kentucky Radiology,KY,Healthcare Provider,166953,2025-06-13,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Diversified Services Enterprises,FL,Business Associate,501,2025-06-13,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Elmore County,ID,Healthcare Provider,931,2025-06-13,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
AltaMed Health Services Corporation,CA,Healthcare Provider,4530,2025-06-13,Unauthorized Access/Disclosure,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Mount Rogers Community Services,VA,Healthcare Provider,38191,2025-06-13,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Imperial Beach Community Clinic,CA,Healthcare Provider,10358,2025-06-12,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Kelley Drye & Warren LLP,NY,Business Associate,771,2025-06-12,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Rural Health Services ,SC,Healthcare Provider,36542,2025-06-12,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Clarkston Chiropractic Sports & Wellness,MI,Healthcare Provider,2757,2025-06-11,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Repay Management Services, LLC",GA,Health Plan,606,2025-06-10,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Episource, LLC",CA,Business Associate,6725572,2025-06-06,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Blue Shield of California,CA,Business Associate,1543,2025-06-06,Unauthorized Access/Disclosure,Other,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Sharp Community Medical Group,CA,Healthcare Provider,26976,2025-06-06,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Public Health Trust of Miami Dade County DBA Jackson Health System,FL,Healthcare Provider,2599,2025-06-06,Unauthorized Access/Disclosure,Electronic Medical Record,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Sharp HealthCare,CA,Healthcare Provider,500,2025-06-06,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Huron Regional Medical Center, Inc.",SD,Healthcare Provider,25398,2025-06-06,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Centivo Corporation,GA,Business Associate,630,2025-06-06,Unauthorized Access/Disclosure,Email,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
NYC Health + Hospitals,NY,Healthcare Provider,5728,2025-06-06,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Sensata Technologies, Inc. Health and Welfare Benefit Plan",MA,Health Plan,15630,2025-06-05,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Renkim Corporation,MI,Business Associate,105518,2025-06-02,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Cumberland County Hospital Association,KY,Healthcare Provider,36659,2025-06-02,Hacking/IT Incident,Other,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Upper Dublin Family Dentistry,PA,Healthcare Provider,5000,2025-05-30,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Oliver Street Dermatology Management LLC ,TX,Business Associate,13717,2025-05-30,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Providia Home Care, LLC dba Preferred Care Home Health Services",FL,Healthcare Provider,38401,2025-05-30,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Horizon Blue Cross Blue Shield NJ,NJ,Health Plan,781,2025-05-30,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Next Step Healthcare LLC,MA,Healthcare Provider,12090,2025-05-30,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Missouri Department of Conservation,MO,Health Plan,10260,2025-05-30,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Northwestern Community Services Board,VA,Healthcare Provider,21856,2025-05-29,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Gateway Community Services, Inc. ",FL,Healthcare Provider,34498,2025-05-29,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
The Smith Institute for Urology,NY,Healthcare Provider,2263,2025-05-28,Unauthorized Access/Disclosure,Desktop Computer,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Covenant Surgical Partners, Inc.",TX,Business Associate,88609,2025-05-28,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Mary B. Toporcer, MD, P.C.",PA,Healthcare Provider,501,2025-05-28,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Cahaba Center for Mental Health,AL,Healthcare Provider,15085,2025-05-27,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
NHPP Physical Medicine and Rehabilitation,NY,Healthcare Provider,1353,2025-05-23,Unauthorized Access/Disclosure,Other,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Sports Physical Therapy, Occupational Therapy and Rehabilitation Services of the North Shore, P.L.L.C",NY,Healthcare Provider,6195,2025-05-23,Unauthorized Access/Disclosure,Other,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
North Shore University Hospital Sleep Disorders Center,NY,Healthcare Provider,13332,2025-05-23,Unauthorized Access/Disclosure,Other,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
The Cooper Health System,NJ,Healthcare Provider,57412,2025-05-23,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Access2Day Health ,LA,Business Associate,4908,2025-05-23,Hacking/IT Incident,Email,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Community Hospital of Anaconda,MT,Healthcare Provider,21243,2025-05-19,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Insulet Corporation,MA,Healthcare Provider,841,2025-05-16,Unauthorized Access/Disclosure,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Mercy Surgical Dressing Group, Inc.",PA,Business Associate,4159,2025-05-16,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Compassion Health Care, Inc.",NC,Healthcare Provider,23282,2025-05-16,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Harbin Clinic, LLC",GA,Healthcare Provider,176149,2025-05-16,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Weiser Valley Hospital District dba Weiser Memorial Hospital,ID,Healthcare Provider,59990,2025-05-15,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"HopeHealth, Inc.",SC,Healthcare Provider,5823,2025-05-15,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"CareNexa, LLC, doing business as Molecular Testing Labs",WA,Healthcare Provider,7711,2025-05-15,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Hunter Health Clinic,KS,Healthcare Provider,28431,2025-05-15,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Anne Arundel County Department of Health,MD,Healthcare Provider,500,2025-05-15,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Doctors Hospital at Renaissance, LTD",TX,Healthcare Provider,501,2025-05-15,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
CVS Caremark ,RI,Business Associate,2599,2025-05-13,Unauthorized Access/Disclosure,Paper/Films,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Washington Gastroenterology,WA,Healthcare Provider,501,2025-05-09,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Blue Cross Blue Shield of Texas,IL,Business Associate,593,2025-05-09,Unauthorized Access/Disclosure,Paper/Films,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Tri-City Cardiology Consultants, P.C.",AZ,Healthcare Provider,22753,2025-05-08,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Allied Services Division Welfare Fund,IL,Health Plan,5727,2025-05-07,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
The Carpenter Health Network,LA,Healthcare Provider,878,2025-05-06,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Minnesota Orthodontics and Dentofacial Orthopedics, P.A.",MN,Healthcare Provider,501,2025-05-05,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
